4;20;2010;0;0;0;0;0;0
4;21;2010;0;0;0;0;0;0
4;22;2010;62200;0;0;0;0;1701
4;23;2010;62100;0;0;1630;0;0
4;24;2010;61900;0;0;155;0;0
4;25;2010;61800;0;0;0;0;9818
4;26;2010;61700;0;0;7832;0;14486
4;27;2010;61600;0;0;18557;0;27078
4;28;2010;61500;95;0;3306;0;42143
4;29;2010;61400;0;0;3245;0;40913
4;30;2010;61300;0;0;1427;2196;4900
5;1;2010;61200;0;0;992;0;11653
5;2;2010;61000;0;0;0;3399;0
5;3;2010;60900;0;0;0;5812;0
5;4;2010;60800;0;0;9996;7580;34273
5;5;2010;60700;880;0;0;0;49575
5;6;2010;60600;6155;0;21452;0;28770
5;7;2010;60500;2010;0;13788;0;7270
5;8;2010;60400;0;0;26189;0;41690
5;9;2010;60200;0;0;33865;0;55932
5;10;2010;60100;0;0;8957;9460;56220
5;11;2010;60000;0;0;0;2100;7940
5;12;2010;59900;0;0;0;0;39710
5;13;2010;59800;0;0;0;0;41620
5;14;2010;59700;0;0;0;0;44031
5;15;2010;59600;0;500;0;7222;14208
5;16;2010;59400;0;900;6987;6300;670
5;17;2010;59300;3175;1030;23873;7980;13213
5;18;2010;59200;785;1200;13903;3450;12386
5;19;2010;59100;27350;3000;11849;4879;3352
5;20;2010;59000;11150;2200;13600;14151;1
5;21;2010;58900;0;2175;13126;14400;29892
5;22;2010;58800;0;1361;12025;14130;52946
5;23;2010;58700;950;1120;14108;14738;18104
5;24;2010;58500;2450;0;4135;14494;630
5;25;2010;58400;350;6078;3943;12925;200
5;26;2010;58300;450;2596;7681;11529;7752
5;27;2010;58200;700;0;9936;14347;1029
5;28;2010;58100;0;0;10110;13670;18445
5;29;2010;58000;1200;0;27319;14588;2900
5;30;2010;57900;2550;0;10471;13073;17631
5;31;2010;57700;16550;0;11845;13936;11686
6;1;2010;57600;7900;0;11719;12201;0
6;2;2010;57500;700;0;18241;8073;3375
6;3;2010;60000;0;0;4833;17753;6200
6;4;2010;59900;0;6087;8912;20655;13701
6;5;2010;59800;0;10496;8568;20306;125
6;6;2010;59700;0;11119;3123;13937;0
6;7;2010;59500;850;14842;11754;14732;10744
6;8;2010;59400;5450;15006;5350;13763;8324
6;9;2010;59300;3500;15816;12802;12112;2100
